# Depth (um), Electronic Energy Loss (keV/nm), Nuclear Energy Loss (keV/nm), Total Energy Loss (keV/nm), Energy (keV)
7.634999999999999432e+01,3.305908899999999928e+00,1.151744810000000063e+00,4.457653709999999769e+00,1.300000000000000000e+04
7.656999999999999318e+01,3.240391299999999752e+00,1.209345699999999857e+00,4.449736999999999831e+00,1.200000000000000000e+04
7.678999999999999204e+01,3.185793300000000272e+00,1.274044329999999947e+00,4.459837629999999997e+00,1.100000000000000000e+04
7.700999999999999091e+01,3.133925200000000189e+00,1.347478640000000061e+00,4.481403840000000471e+00,1.000000000000000000e+04
7.723000000000000398e+01,3.087516900000000231e+00,1.431832549999999982e+00,4.519349449999999990e+00,9.000000000000000000e+03
7.745000000000000284e+01,3.041108600000000273e+00,1.529835960000000217e+00,4.570944560000000934e+00,8.000000000000000000e+03
7.765999999999999659e+01,2.991970400000000030e+00,1.645037740000000026e+00,4.637008139999999834e+00,7.000000000000000000e+03
7.776999999999999602e+01,2.961941500000000005e+00,1.710555340000000202e+00,4.672496839999999985e+00,6.500000000000000000e+03
7.786999999999999034e+01,2.929182700000000139e+00,1.782897689999999979e+00,4.712080390000000563e+00,6.000000000000000000e+03
7.796999999999999886e+01,2.890964100000000148e+00,1.862883759999999889e+00,4.753847860000000480e+00,5.500000000000000000e+03
7.807479999999999620e+01,2.844555800000000190e+00,1.952151489999999878e+00,4.796707290000000512e+00,5.000000000000000000e+03
7.817589999999999861e+01,2.792687700000000550e+00,2.052065830000000091e+00,4.844753530000000197e+00,4.500000000000000000e+03
7.827589999999999293e+01,2.729900000000000215e+00,2.165083689999999894e+00,4.894983690000000109e+00,4.000000000000000000e+03
7.832540000000000191e+01,2.696049239999999791e+00,2.227325410000000172e+00,4.923374649999999519e+00,3.750000000000000000e+03
7.837460000000000093e+01,2.658376619999999857e+00,2.293934970000000462e+00,4.952311590000000763e+00,3.500000000000000000e+03
7.842349999999999000e+01,2.617974100000000082e+00,2.365458349999999932e+00,4.983432450000000458e+00,3.250000000000000000e+03
7.847199999999999420e+01,2.574295699999999965e+00,2.442441529999999972e+00,5.016737230000000380e+00,3.000000000000000000e+03
7.852009999999999934e+01,2.527614409999999978e+00,2.525703480000000223e+00,5.053317890000000645e+00,2.750000000000000000e+03
7.856779999999999120e+01,2.477930230000000122e+00,2.615790180000000298e+00,5.093720410000000420e+00,2.500000000000000000e+03
7.861509999999999820e+01,2.424697179999999896e+00,2.713793590000000311e+00,5.138490770000000651e+00,2.250000000000000000e+03
7.866179999999999950e+01,2.368734229999999830e+00,2.819986699999999846e+00,5.188720929999999676e+00,2.000000000000000000e+03
7.869879999999999143e+01,2.321506960000000230e+00,2.912803300000000206e+00,5.234310260000000881e+00,1.800000000000000000e+03
7.871719999999999118e+01,2.297210849999999915e+00,2.959211600000000164e+00,5.256422450000000524e+00,1.700000000000000000e+03
7.873539999999999850e+01,2.272095770000000403e+00,3.011079699999999804e+00,5.283175469999999763e+00,1.600000000000000000e+03
7.875359999999999161e+01,2.246434709999999946e+00,3.062947800000000331e+00,5.309382510000000721e+00,1.500000000000000000e+03
7.877159999999999229e+01,2.219954679999999847e+00,3.114815899999999971e+00,5.334770579999999818e+00,1.400000000000000000e+03
7.878950000000000387e+01,2.192382690000000522e+00,3.169413899999999895e+00,5.361796590000000862e+00,1.300000000000000000e+03
7.880740000000000123e+01,2.162899770000000110e+00,3.226741800000000104e+00,5.389641570000000215e+00,1.200000000000000000e+03
7.882509999999999195e+01,2.130959940000000330e+00,3.284069699999999870e+00,5.415029640000000200e+00,1.100000000000000000e+03
7.884269999999999357e+01,2.094379280000000065e+00,3.341397600000000079e+00,5.435776880000000588e+00,1.000000000000000000e+03
7.886019999999999186e+01,2.050154899999999891e+00,3.401455400000000129e+00,5.451610300000000464e+00,9.000000000000000000e+02
7.887769999999999015e+01,1.992554010000000098e+00,3.458783299999999894e+00,5.451337309999999547e+00,8.000000000000000000e+02
7.889509999999999934e+01,1.911202990000000268e+00,3.513381299999999818e+00,5.424584290000000308e+00,7.000000000000000000e+02
7.890389999999999304e+01,1.856059010000000065e+00,3.537950400000000162e+00,5.394009410000000670e+00,6.500000000000000000e+02
7.891270000000000095e+01,1.786446559999999906e+00,3.562519500000000505e+00,5.348966060000000411e+00,6.000000000000000000e+02
7.892159999999999798e+01,1.697451819999999945e+00,3.584358700000000120e+00,5.281810520000000508e+00,5.500000000000000000e+02
7.893059999999999832e+01,1.581431070000000050e+00,3.600738100000000053e+00,5.182169169999999880e+00,5.000000000000000000e+02
7.893979999999999109e+01,1.428556669999999862e+00,3.614387600000000145e+00,5.042944269999999563e+00,4.500000000000000000e+02
7.894929999999999382e+01,1.226271080000000069e+00,3.622577300000000111e+00,4.848848379999999736e+00,4.000000000000000000e+02
7.895420000000000016e+01,1.168397200000000025e+00,3.619847400000000270e+00,4.788244600000000517e+00,3.750000000000000000e+02
7.895909999999999229e+01,1.128813650000000113e+00,3.617117500000000430e+00,4.745931150000000542e+00,3.500000000000000000e+02
7.896410000000000196e+01,1.087865150000000058e+00,3.611657700000000304e+00,4.699522850000000140e+00,3.250000000000000000e+02
